person,personLabel,location,birthyear,sitelinks
http://www.wikidata.org/entity/Q179195,Meinrad of Einsiedeln,Point(8.934444444 48.477222222),797,11
http://www.wikidata.org/entity/Q714866,Ulrich of Augsburg,Point(10.416666666 48.616666666),890,21
http://www.wikidata.org/entity/Q61914,Gotthard of Hildesheim,Point(13.016666666 48.766666666),960,22
http://www.wikidata.org/entity/Q319108,Bruno of Querfurt,Point(11.6 51.383333333),970,28
http://www.wikidata.org/entity/Q129546,Saint Gunther of Bohemia,Point(11.196944444 50.640833333),955,11
http://www.wikidata.org/entity/Q1417254,Offa of Angel,Point(9.666666666 54.666666666),400,10
http://www.wikidata.org/entity/Q536950,Leudwinus,Point(6.597222222 49.491666666),660,8
http://www.wikidata.org/entity/Q43915,Otto I the Great,Point(11.183333333 51.466666666),912,85
http://www.wikidata.org/entity/Q705868,Conrad of Constance,Point(9.64172 47.80777),900,14
http://www.wikidata.org/entity/Q477895,Bilihildis,Point(9.881666666 49.832777777),700,7
http://www.wikidata.org/entity/Q77564,Willigis,Point(10.96745 52.13802),940,18
http://www.wikidata.org/entity/Q150620,Henry I the Fowler,Point(11.566666666 51.283333333),876,64
http://www.wikidata.org/entity/Q151090,Otto III,Point(6.015280555 51.747780555),980,59
http://www.wikidata.org/entity/Q241036,Julia Drusilla,Point(7.59528 50.3611),18,27
http://www.wikidata.org/entity/Q323137,Hildegrim of Châlons,Point(7.566666666 53.483333333),760,6
http://www.wikidata.org/entity/Q1335224,Frederick of Utrecht,Point(7.566666666 53.483333333),780,17
http://www.wikidata.org/entity/Q1347216,Alberic of Utrecht,Point(7.566666666 53.483333333),701,10
http://www.wikidata.org/entity/Q62033,Gisela of Swabia,Point(9.963274 48.37844),990,29
http://www.wikidata.org/entity/Q234410,Hildegard of Vinzgouw,Point(9.963274 48.37844),758,29
http://www.wikidata.org/entity/Q319786,Wiching,Point(9.963274 48.37844),900,10
http://www.wikidata.org/entity/Q324468,Haito,Point(9.963274 48.37844),763,7
http://www.wikidata.org/entity/Q456569,Walafrid Strabo,Point(9.963274 48.37844),808,22
http://www.wikidata.org/entity/Q566789,Hatto I,Point(9.963274 48.37844),850,14
